date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:39	94272/94272	---MCZ	200	added ('OK')	text/html	etag:W/%22a02577712c4e4c3cb6b4ba7d9239105b%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl04-ww-than-hinh-tru-noel-4-bo	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl04-ww-than-hinh-tru-noel-4-bo.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:41	92638/92638	---MCZ	200	added ('OK')	text/html	etag:W/%226babcb430b454f7f9fe8b31d793d6a14%22	https://shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl14-ww-than-hinh-tru-trai-tim-vang-bong-led-warmwhite	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl14-ww-than-hinh-tru-trai-tim-vang-bong-led-warmwhite.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:41	13921/13921	---M--	200	added ('OK')	image/jpeg	etag:W/%221d39fed10b15900%22	http://product.hstatic.net/1000253446/product/upload_ae14d0b679994e679f0ff5f6ce1f5ce9_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_ae14d0b679994e679f0ff5f6ce1f5ce9_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:41	93033/93033	---MCZ	200	added ('OK')	text/html	etag:W/%2279f4ba4f24d54fe093d4b675b4321623%22	https://shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl07-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl07-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:44	93688/93688	---MCZ	200	added ('OK')	text/html	etag:W/%227bf89501307946ac940b26641bdd9928%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl07-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl07-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:44	13008/13008	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e38dae280%22	http://product.hstatic.net/1000253446/product/upload_83b97c373e5042b7949dc55fe91e9d1d_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_83b97c373e5042b7949dc55fe91e9d1d_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:44	93003/93003	---MCZ	200	added ('OK')	text/html	etag:W/%2256267552d48f447bbb4660bac023ea83%22	https://shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl03-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl03-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:44	10808/10808	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e1b0d7d80%22	http://product.hstatic.net/1000253446/product/upload_f41cd17f6bcd47e3ab6296508e8741c1_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_f41cd17f6bcd47e3ab6296508e8741c1_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:45	93688/93688	---MCZ	200	added ('OK')	text/html	etag:W/%22be577413f532477c97cdfcee0107b5f3%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl03-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl03-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:47	93915/93915	---MCZ	200	added ('OK')	text/html	etag:W/%2234742690ec46468d9220991c6878852f%22	https://shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl08-ww	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/shop.dienquang.com/collections/den-trang-tri/products/den-thuy-tinh-trang-tri-dien-quang-dq-dcl08-ww.html	(from https://shop.dienquang.com/collections/den-trang-tri)
19:31:47	14698/14698	---M--	200	added ('OK')	image/jpeg	etag:W/%221d3989e1e086e00%22	http://product.hstatic.net/1000253446/product/upload_d8552f8370eb42d8aae8c2327d826a67_large.jpg	D:/Phan%20mem/WinHTTrack/test/dienquang/dienquang/product.hstatic.net/1000253446/product/upload_d8552f8370eb42d8aae8c2327d826a67_large.jpg	(from https://shop.dienquang.com/collections/den-trang-tri)
